family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,epoch,n,train_loss_mean,train_loss_std,test_loss_mean,test_loss_std,loss_gap_mean,loss_gap_std
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,4,3,0.5624630016,0.02300875366,1.985998399,0.04357112691,1.423535398,0.05871414279
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,5,3,0.5021200455,0.01269628754,1.850834809,0.1275300761,1.348714763,0.1163223909
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,6,3,0.4540684503,0.02154361855,2.043056882,0.2752382009,1.588988431,0.2567571742
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,7,3,0.4202381554,0.02864295652,1.903326219,0.207708311,1.483088063,0.1790765233
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,8,2,0.3675253098,0.001637265376,1.757753434,0.07048225859,1.390228125,0.07211952403
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,9,1,0.3406540619,,1.660762838,,1.320108776,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,1,3,1.05798851,0.03781646914,2.35927429,0.1642645075,1.30128578,0.1307454418
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,10,2,0.3250471599,0.006042997555,1.683281705,0.0383353522,1.358234544,0.04437834968
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,11,2,0.2902449112,0.007794733408,1.6753959,0.06220373806,1.385150988,0.06999847098
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,12,1,0.2515046474,,1.649386115,,1.397881468,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,13,1,0.2339859473,,1.736243033,,1.502257086,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,14,1,0.2175522656,,1.724612094,,1.507059828,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,2,3,0.8064140063,0.03566143552,2.074002272,0.03021020484,1.267588265,0.02808408427
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,3,3,0.6921178002,0.02800682797,2.037204964,0.1375517296,1.345087164,0.1139138074
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,4,3,0.608207742,0.02544467146,1.913418125,0.05704323149,1.305210383,0.03452002598
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,5,3,0.5363377869,0.01603171694,1.817076864,0.1186095538,1.280739078,0.1053143614
